Easting (X),Northing (Y),Hosp
36.7509,-1.2592,"PQR2+89C, Nairobi, Kenya"
36.88044,-1.240591,"Kariobangi, Nairobi, Kenya"
36.881039,-1.254463,"Nairobi, Kenya"
36.8842637,-1.2638072,"Kariobangi South, Embakasi West, Embakasi West, Nairobi, Kenya"
36.8365969,-1.2788586,"PRCP+FJ5, Nairobi, Kenya"
,,
,,
36.842999,-1.2563399,"Kiambu Rd, Nairobi City, Kenya"
36.9061551,-1.2204355,"Kasarani Outlet 2, Nairobi, Kenya"
36.9026084,-1.2207146,"Kasarani, Nairobi, Kenya"
36.9061551,-1.2204355,"Clay City, Nairobi, Kenya"
36.8976372,-1.2253995,"Kasarani, Nairobi, Kenya"
,,
36.7491582,-1.2875246,"Kawangware, Dagoretti North, Dagoretti North, Nairobi, Kenya"
,,
36.9069054,-1.1858857,"RW74+JQR, Nairobi, Kenya"
,,
36.688534,-3.3692817,"Arusha CC Kaloleni Kaloleni Mashariki Arusha Region, Arusha, Tanzania"
36.8425202,-1.2938572,"Kaloleni, Nairobi, Kenya"
36.9157976,-1.2773942,"Kayole, Nairobi, Kenya"
36.917863,-1.272779,"Kayole North, Embakasi Central, Embakasi Central, Nairobi, Kenya"
36.915837,-1.2774035,"Kayole South, Embakasi Central, Embakasi Central, Nairobi, Kenya"
36.7456511,-1.2399854,"Nairobi, Kenya"
36.894575,-1.1769246,"Nairobi, Kenya"
36.894575,-1.1769246,"Nairobi, Kenya"
36.8869064,-1.2184586,"Zimmerman, Nairobi, Kenya"
36.7449448,-1.271249,"Mountain View, Westlands, PPGV+G5V, Thiongo Rd, Nairobi, Kenya"
36.7492113,-1.2671385,"PPMX+4MW, Nairobi, Kenya"
36.8976372,-1.2253995,"Ruai, Nairobi, Kenya"
36.7869311,-1.2892786,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
,,
36.8947127,-1.2068326,"Zimmerman, Nairobi, Kenya"
36.8922951,-1.2842861,"Umoja I, Embakasi West, Embakasi West, PV9Q+9Q4, Nairobi, Kenya"
,,
,,
36.8481278,-1.2733723,"Eastleigh, Nairobi, Kenya"
36.7794103,-1.3003942,"Ngong Rd, Nairobi, Kenya"
36.8322101,-1.273666,"Opposite Mosque, Park Road, Nairobi, Kenya"
36.8063923,-1.2585137,"19 Jalaram Rd, Nairobi, Kenya"
36.8730802,-1.2816231,"Buru Buru Rd, Nairobi, Kenya"
36.8032928,-1.2652201,"Nairobi, Kenya"
,,
,,
36.8600884,-1.2951539,"Eastlands Cres, Nairobi, Kenya"
36.7488139,-1.2873647,"Kawangware, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.7428179,-1.2873092,"Riruta, Dagoretti South, Dagoretti South, Nairobi, Kenya"
,,
,,
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
36.8267823,-1.3130379,"South C, Nairobi, Kenya"
36.9245295,-1.3225242,"Jomo Kenyatta International Airport NBO, Embakasi, Nairobi, Kenya"
36.7879475,-1.3114845,"Kibera, Nairobi, Kenya"
36.8337414,-1.2847449,"Nairobi, Kenya"
36.8942279,-1.2089855,"QVRV+CM5, Zimmerman Base Road, Nairobi City, Kenya"
36.8640861,-1.2915477,"Maringo/Hamza, Makadara, Nairobi, Kenya"
36.8389795,-1.2695338,"Starehe, Nairobi, Kenya"
,,
36.7118971,-1.2231864,"Kabete, Kenya"
36.7782363,-1.2587589,"Nairobi, Kenya"
,,
,,
,,
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
36.8662417,-1.2442653,"Utalii, Ruaraka, Nairobi, Kenya"
,,
36.83206974,-1.2696504,"Guru Nanak Hospital, Murang'a Road, Ngara, Ngara East sublocation, Ngara location, Nairobi, CBD division, Starehe, Nairobi, 30108, Kenya"
36.7869311,-1.2892786,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.916974,-1.273168,"Nairobi, Kenya"
,,
,,
,,
,,
,,
,,
,,
,,
,,
36.920819,-1.2067788,"Githurai, Nairobi, Kenya"
36.8856975,-1.2480559,"Kariobangi North, Embakasi North, Embakasi North, Nairobi, Kenya"
37.906193,-0.023559,Kenya
36.8716101,-1.3142767,"Maringo/Hamza, Nairobi, Kenya"
36.9184661,-1.2271994,"Clay City, Nairobi, Kenya"
,,
36.8366525,-1.2650654,"Underground Pass, Thika Rd, Nairobi, Kenya"
36.7879776,-1.3114234,"Sarang'ombe, Nairobi, Kenya"
,,
36.8720909,-1.2565106,"Nairobi South, Starehe, Starehe, Nairobi, Kenya"
,,
36.8721139,-1.2564898,"Huruma, Nairobi, Kenya"
36.8741664,-1.2605817,"Nairobi, Kenya"
36.8751874,-1.2573029,"Near St. Judes ACK Parish, Huruma Rd, Nairobi, Kenya"
36.7977003,-1.2703238,"Riverside Dr Parklands/Highridge, Nairobi, Kenya"
36.7977003,-1.2703238,"Riverside Dr Parklands/Highridge, Nairobi, Kenya"
,,
36.8556494,-1.2660713,"California, Nairobi, Kenya"
,,
36.7507498,-1.2636335,"Nairobi, Kenya"
36.744382,-1.2898909,"Naivasha Rd, Nairobi, Kenya"
36.77845,-1.311489,"Joseph Kangethe Rd, Laini Saba, Nairobi, Kenya"
36.707031,-1.322875,"Ngong Rd, Nairobi, Kenya"
36.8511148,-1.2651328,"Mabatini, Mathare, Nairobi, Kenya"
,,
,,
36.8219462,-1.2920659,"Upper Savannah, Embakasi East, Embakasi East, Nairobi, Kenya"
,,
36.911115,-1.2668841,"Komarock, Embakasi Central, Embakasi, Nairobi, Kenya"
36.8398293,-1.2667224,"Pangani, Nairobi, Kenya"
36.7727311,-1.28688495,"Gertrudes Childrens Hospital, Othaya Road, Kileleshwa sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 54102, Kenya"
36.7727855,-1.286842,"Othaya Rd, Nairobi, Kenya"
36.8877613,-1.2950811,"5th Ln, Nairobi, Kenya"
36.8999616,-1.3237858,"Embakasi, Nairobi, Kenya"
36.8873731,-1.2953701,"Getrudes Children's Hospital Donholm, Manyanja Road, Tena, Umoja II ward, Embakasi, Nairobi, 00515, Kenya"
36.9121518,-1.3644024,"Gateway Mall Mombasa Road Mombasa Road, Opposite Kapa Oil, Nairobi, Kenya"
,,
,,
36.7138684,-1.2819632,"Waithaka, Dagoretti South, Dagoretti South, Nairobi, Kenya"
36.7419871,-1.2840698,"Uthiru/Ruthimitu, Dagoretti South, Dagoretti South, Nairobi, Kenya"
36.8236816,-1.2165592,"Githogoro Village, Nairobi, Kenya"
36.8259841,-1.2868255,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.913794,-1.2064151,"Githurai, Nairobi, Kenya"
36.9161416,-1.2033793,"Githurai, Nairobi, Kenya"
36.806605,-1.29475,"PR44+8J9 Java House, Ralph Bunche Rd, Nairobi, Kenya"
37.0672199,-1.2824368,"Nairobi, Kenya"
36.7476257,-1.3640944,"Langata, Nairobi, Kenya"
,,
36.6903289,-1.316866,"Karen Boyani Rd, Nairobi, Kenya"
36.749551,-1.2692431,"Nairobi, Kenya"
,,
,,
36.8510721,-1.2718483,"Nairobi, Kenya"
,,
,,
36.8884591,-1.3017643,"MVXQ+79W, Caltex Road, Nairobi, Kenya"
36.9084173,-1.2684944,"Komarocks, Nairobi, Kenya"
36.9379857,-1.2517668,"Embakasi, Nairobi, Kenya"
36.9863415,-1.2536408,"Ruai, Nairobi, Kenya"
36.9115841,-1.2878119,"Lower Savannah, Embakasi East, Embakasi East, PW66+VJG, Nairobi, Kenya"
,,
,,
,,
,,
36.8999616,-1.3237858,"Embakasi, Nairobi, Kenya"
36.8926061,-1.3280597,"Nairobi, Kenya"
36.8999616,-1.3237858,"Embakasi, Nairobi, Kenya"
36.8999616,-1.3237858,"Embakasi, Nairobi, Kenya"
36.8178918,-1.2598822,"Parklands/Highridge, Westlands, Nairobi, Kenya"
,,
,,
,,
36.745117,-1.2952737,"Next To J & J Ndema Flats, Satelite, PP3W+V2X, Ngotho Rd, Nairobi, Kenya"
36.8640861,-1.2915477,"Maringo/Hamza, Nairobi, Kenya"
,,
36.915837,-1.2774035,"Kayole Central, Embakasi Central, Embakasi, Nairobi, Kenya"
36.816448,-1.2833702,"PR88+MH4, Utalii St, Nairobi, Kenya"
36.8957055,-1.2145367,"1445 Zimmermerman, Nairobi, Kenya"
36.913794,-1.2064151,"Githurai, Nairobi, Kenya"
36.816017,-1.3133493,"Nairobi West, Nairobi, Kenya"
,,
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
37.906193,-0.023559,Kenya
,,
,,
36.872984,-1.296867,"Maringo/Hamza, Nairobi, Kenya"
36.872984,-1.296867,"Maringo/Hamza, Nairobi, Kenya"
36.8862348,-1.218301,"Nairobi, Kenya"
36.8904355,-1.3245131,"Kwa Njenga, Embakasi South, Embakasi South, Nairobi, Kenya"
,,
,,
,,
36.8474113,-1.3107676,"Sarang'ombe, Nairobi, Kenya"
36.7259636,-1.3591614,"Karen Boyani Rd, Nairobi, Kenya"
,,
36.87947,-1.256788,"Kariobangi North, Embakasi North, Embakasi North, Nairobi, Kenya"
,,
36.7879776,-1.3114234,"Lindi, Kibra, Nairobi, Kenya"
,,
,,
36.916706,-1.2482,"Conerstone Clinic, Koma Rock Road, Nairobi, Njiru, Nairobi, 55145, Kenya"
,,
36.913809,-1.2705351,"Kayole North, Off Kayole Spine Rd, Nairobi, Kenya"
36.8977676,-1.3237858,"Connections Medical Clinic, Airport North Road, Embakasi, Pipeline ward, Embakasi, Nairobi, 00501, Kenya"
36.8129858,-1.2539769,"Parklands/Highridge, Westlands, Nairobi, Kenya"
36.7976097,-1.29763,"Ngong Rd, Nairobi, Kenya"
,,
36.8914527,-1.2880036,"Umoja II, Embakasi West, Embakasi West, Nairobi, Kenya"
,,
,,
,,
,,
,,
36.8207967,-1.2829998,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
36.8381218,-1.2662819,"Starehe, Nairobi, Kenya"
36.8208156,-1.2828251,"Jamia Plaza Kigali Sreet, Nairobi, Kenya"
36.8207967,-1.2829998,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
,,
36.9120253,-1.2683626,"Komarock, Embakasi Central, Embakasi Central, Nairobi, Kenya"
,,
36.8640861,-1.2915477,"Maringo, Nairobi, Kenya"
,,
36.9025341,-1.2482437,"Dandora Area III, Embakasi North, Embakasi North, Nairobi, Kenya"
,,
36.8843436,-1.2339809,"Nairobi City, Kenya"
39.5686794,-4.2743671,"PHG9+7F3, Ukunda-Ramisi Rd, Ukunda, Kenya"
36.796377,-1.304082,"Sarang'ombe, Nairobi, Kenya"
36.8835566,-1.2672487,"Dandora Area I, Mutarakwa Rd, Nairobi, Kenya"
36.914544,-1.270479,"North, Kenya"
36.7869311,-1.2892786,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.7786562,-1.3268598,"Mugumo-ini, Nairobi, Kenya"
,,
36.888508,-1.2756965,"Kariobangi South, Embakasi West, Embakasi West, Nairobi, Kenya"
,,
,,
36.7476257,-1.3640944,"Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
36.8178918,-1.2598822,"Parklands/Highridge, Westlands, Nairobi, Kenya"
36.799318,-1.298001,"Bemuda Plaza, Ngong Rd, Nairobi, Kenya"
36.806726,-1.294659,"Medical Center, Ralph Bunche Rd, Nairobi, Kenya"
,,
36.8118192,-1.263187,"Nairobi, Kenya"
36.8178918,-1.2598822,"Parklands/Highridge, Westlands, Nairobi, Kenya"
36.7869311,-1.2892786,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.8035436,-1.2957842,"The Nairobi Hospital Laborarory Building, 2nd Floor rm 202 Argwings Kodhek Road, Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
36.8854838,-1.2614676,"Koma Rock Road Dandora phase 1 Dandora Nairobi City, Nairobi, Kenya"
36.8890776,-1.3241918,"Grace House, Catherine Ndereba Road, Nairobi, Kenya"
37.170671,-1.40797,"Muthwani, Athi River, Mavoko, Machakos, Kenya"
36.8266851,-1.2837163,"Raiciri Hse, Accra Rd, Nairobi, Kenya"
,,
,,
36.806603,-1.294758,"Woodley, Kibra, Kibra, Nairobi, Kenya"
,,
36.8020872,-1.2956378,"Kilimani Nairobi Hospital Doctor’s Plaza Dagoreti North, Nairobi, Kenya"
36.811973,-1.290132,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.828085,-1.2878412,"Afya Centre, Nairobi, Kenya"
,,
36.823968,-1.284998,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
,,
36.8798649,-1.2577075,"Nairobi, Kenya"
,,
36.8229056,-1.2898124,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
,,
36.6903404,-1.2826547,"Uthiru/Ruthimitu, Dagoretti South, Dagoretti South, Nairobi, Kenya"
